"date","pt","dose","coverage"
2021-01-23,"Nunavut","dose_1",11.29
2021-01-23,"Nunavut","dose_2",0
2021-01-30,"Newfoundland and Labrador","dose_1",1.6
2021-01-30,"Newfoundland and Labrador","dose_2",0.53
2021-01-30,"Prince Edward Island","dose_1",3.21
2021-01-30,"Prince Edward Island","dose_2",1.56
2021-01-30,"Nova Scotia","dose_1",1.22
2021-01-30,"Nova Scotia","dose_2",0.28
2021-01-30,"New Brunswick","dose_1",1.62
2021-01-30,"New Brunswick","dose_2",0.57
2021-01-30,"Quebec","dose_1",2.78
2021-01-30,"Ontario","dose_1",1.83
2021-01-30,"Ontario","dose_2",0.46
2021-01-30,"Manitoba","dose_1",2.34
2021-01-30,"Manitoba","dose_2",0.61
2021-01-30,"Saskatchewan","dose_1",2.31
2021-01-30,"Saskatchewan","dose_2",0.26
2021-01-30,"Alberta","dose_1",2.03
2021-01-30,"Alberta","dose_2",0.36
2021-01-30,"British Columbia","dose_1",2.6
2021-01-30,"British Columbia","dose_2",0.09
2021-01-30,"Yukon","dose_1",17.13
2021-01-30,"Yukon","dose_2",0
2021-01-30,"Northwest Territories","dose_1",28.14
2021-01-30,"Northwest Territories","dose_2",0.27
2021-01-30,"Nunavut","dose_1",13.87
2021-01-30,"Nunavut","dose_2",0
2021-02-06,"Newfoundland and Labrador","dose_1",1.71
2021-02-06,"Newfoundland and Labrador","dose_2",0.78
2021-02-06,"Prince Edward Island","dose_1",3.23
2021-02-06,"Prince Edward Island","dose_2",2.14
2021-02-06,"Nova Scotia","dose_1",1.3
2021-02-06,"Nova Scotia","dose_2",0.52
2021-02-06,"New Brunswick","dose_1",1.68
2021-02-06,"New Brunswick","dose_2",0.69
2021-02-06,"Quebec","dose_1",2.99
2021-02-06,"Ontario","dose_1",1.87
2021-02-06,"Ontario","dose_2",0.69
2021-02-06,"Manitoba","dose_1",2.43
2021-02-06,"Manitoba","dose_2",0.99
2021-02-06,"Saskatchewan","dose_1",2.52
2021-02-06,"Saskatchewan","dose_2",0.46
2021-02-06,"Alberta","dose_1",2.04
2021-02-06,"Alberta","dose_2",0.49
2021-02-06,"British Columbia","dose_1",2.74
2021-02-06,"British Columbia","dose_2",0.23
2021-02-06,"Yukon","dose_1",24.33
2021-02-06,"Yukon","dose_2",1.12
2021-02-06,"Northwest Territories","dose_1",29.51
2021-02-06,"Northwest Territories","dose_2",0.69
2021-02-06,"Nunavut","dose_1",14.82
2021-02-06,"Nunavut","dose_2",0.73
2021-02-13,"Newfoundland and Labrador","dose_1",1.88
2021-02-13,"Newfoundland and Labrador","dose_2",1.05
2021-02-13,"Prince Edward Island","dose_1",3.46
2021-02-13,"Prince Edward Island","dose_2",2.98
2021-02-13,"Nova Scotia","dose_1",1.48
2021-02-13,"Nova Scotia","dose_2",0.81
2021-02-13,"New Brunswick","dose_1",1.73
2021-02-13,"New Brunswick","dose_2",0.95
2021-02-13,"Quebec","dose_1",3.41
2021-02-13,"Ontario","dose_1",1.98
2021-02-13,"Ontario","dose_2",1.18
2021-02-13,"Manitoba","dose_1",2.52
2021-02-13,"Manitoba","dose_2",1.47
2021-02-13,"Saskatchewan","dose_1",2.79
2021-02-13,"Saskatchewan","dose_2",0.81
2021-02-13,"Alberta","dose_1",2.14
2021-02-13,"Alberta","dose_2",1.14
2021-02-13,"British Columbia","dose_1",2.86
2021-02-13,"British Columbia","dose_2",0.43
2021-02-13,"Yukon","dose_1",24.51
2021-02-13,"Yukon","dose_2",2.02
2021-02-13,"Northwest Territories","dose_1",31.23
2021-02-13,"Northwest Territories","dose_2",1.33
2021-02-13,"Nunavut","dose_1",16.49
2021-02-13,"Nunavut","dose_2",5.42
2021-02-20,"Newfoundland and Labrador","dose_1",2
2021-02-20,"Newfoundland and Labrador","dose_2",1.17
2021-02-20,"Prince Edward Island","dose_1",3.93
2021-02-20,"Prince Edward Island","dose_2",3.14
2021-02-20,"Nova Scotia","dose_1",1.5
2021-02-20,"Nova Scotia","dose_2",0.83
2021-02-20,"New Brunswick","dose_1",1.93
2021-02-20,"New Brunswick","dose_2",1.4
2021-02-20,"Quebec","dose_1",4.02
2021-02-20,"Ontario","dose_1",2.16
2021-02-20,"Ontario","dose_2",1.59
2021-02-20,"Manitoba","dose_1",2.62
2021-02-20,"Manitoba","dose_2",1.82
2021-02-20,"Saskatchewan","dose_1",3.2
2021-02-20,"Saskatchewan","dose_2",1.35
2021-02-20,"Alberta","dose_1",2.32
2021-02-20,"Alberta","dose_2",1.49
2021-02-20,"British Columbia","dose_1",3.15
2021-02-20,"British Columbia","dose_2",1.06
2021-02-20,"Yukon","dose_1",24.71
2021-02-20,"Yukon","dose_2",2.54
2021-02-20,"Northwest Territories","dose_1",33.39
2021-02-20,"Northwest Territories","dose_2",4.45
2021-02-20,"Nunavut","dose_1",17.7
2021-02-20,"Nunavut","dose_2",10.42
2021-02-27,"Newfoundland and Labrador","dose_1",3.19
2021-02-27,"Newfoundland and Labrador","dose_2",1.58
2021-02-27,"Prince Edward Island","dose_1",4.48
2021-02-27,"Prince Edward Island","dose_2",3.17
2021-02-27,"Nova Scotia","dose_1",1.99
2021-02-27,"Nova Scotia","dose_2",1.27
2021-02-27,"New Brunswick","dose_1",2.75
2021-02-27,"New Brunswick","dose_2",1.54
2021-02-27,"Quebec","dose_1",5.02
2021-02-27,"Ontario","dose_1",2.87
2021-02-27,"Ontario","dose_2",1.77
2021-02-27,"Manitoba","dose_1",3.37
2021-02-27,"Manitoba","dose_2",2.09
2021-02-27,"Saskatchewan","dose_1",3.92
2021-02-27,"Saskatchewan","dose_2",1.99
2021-02-27,"Alberta","dose_1",3.15
2021-02-27,"Alberta","dose_2",1.97
2021-02-27,"British Columbia","dose_1",3.69
2021-02-27,"British Columbia","dose_2",1.61
2021-02-27,"Yukon","dose_1",25.52
2021-02-27,"Yukon","dose_2",11.18
2021-02-27,"Northwest Territories","dose_1",35
2021-02-27,"Northwest Territories","dose_2",10.48
2021-02-27,"Nunavut","dose_1",18.77
2021-02-27,"Nunavut","dose_2",12.89
2021-03-06,"Newfoundland and Labrador","dose_1",4.05
2021-03-06,"Newfoundland and Labrador","dose_2",1.76
2021-03-06,"Prince Edward Island","dose_1",5.27
2021-03-06,"Prince Edward Island","dose_2",3.35
2021-03-06,"Nova Scotia","dose_1",2.52
2021-03-06,"Nova Scotia","dose_2",1.45
2021-03-06,"New Brunswick","dose_1",3.33
2021-03-06,"New Brunswick","dose_2",1.54
2021-03-06,"Quebec","dose_1",6.37
2021-03-06,"Ontario","dose_1",4.18
2021-03-06,"Ontario","dose_2",1.83
2021-03-06,"Manitoba","dose_1",4.29
2021-03-06,"Manitoba","dose_2",2.19
2021-03-06,"Saskatchewan","dose_1",4.79
2021-03-06,"Saskatchewan","dose_2",2.32
2021-03-06,"Alberta","dose_1",4.55
2021-03-06,"Alberta","dose_2",2.04
2021-03-06,"British Columbia","dose_1",4.74
2021-03-06,"British Columbia","dose_2",1.67
2021-03-06,"Yukon","dose_1",33.92
2021-03-06,"Yukon","dose_2",20.01
2021-03-06,"Northwest Territories","dose_1",39.23
2021-03-06,"Northwest Territories","dose_2",25.65
2021-03-06,"Nunavut","dose_1",23.33
2021-03-06,"Nunavut","dose_2",13.85
2021-03-13,"Newfoundland and Labrador","dose_1",5.27
2021-03-13,"Newfoundland and Labrador","dose_2",1.78
2021-03-13,"Prince Edward Island","dose_1",6.32
2021-03-13,"Prince Edward Island","dose_2",3.41
2021-03-13,"Nova Scotia","dose_1",3.22
2021-03-13,"Nova Scotia","dose_2",1.62
2021-03-13,"New Brunswick","dose_1",4.96
2021-03-13,"New Brunswick","dose_2",1.54
2021-03-13,"Quebec","dose_1",8.3
2021-03-13,"Ontario","dose_1",5.9
2021-03-13,"Ontario","dose_2",1.93
2021-03-13,"Manitoba","dose_1",5.22
2021-03-13,"Manitoba","dose_2",2.39
2021-03-13,"Saskatchewan","dose_1",5.9
2021-03-13,"Saskatchewan","dose_2",2.4
2021-03-13,"Alberta","dose_1",6.48
2021-03-13,"Alberta","dose_2",2.06
2021-03-13,"British Columbia","dose_1",6.2
2021-03-13,"British Columbia","dose_2",1.67
2021-03-13,"Yukon","dose_1",44.65
2021-03-13,"Yukon","dose_2",24.13
2021-03-13,"Northwest Territories","dose_1",45.27
2021-03-13,"Northwest Territories","dose_2",28.49
2021-03-13,"Nunavut","dose_1",26.08
2021-03-13,"Nunavut","dose_2",15.32
2021-03-20,"Newfoundland and Labrador","dose_1",7.48
2021-03-20,"Newfoundland and Labrador","dose_2",1.84
2021-03-20,"Prince Edward Island","dose_1",7.91
2021-03-20,"Prince Edward Island","dose_2",3.42
2021-03-20,"Nova Scotia","dose_1",4.11
2021-03-20,"Nova Scotia","dose_2",2.03
2021-03-20,"New Brunswick","dose_1",6.29
2021-03-20,"New Brunswick","dose_2",1.54
2021-03-20,"Quebec","dose_1",10.99
2021-03-20,"Ontario","dose_1",8.27
2021-03-20,"Ontario","dose_2",2.01
2021-03-20,"Manitoba","dose_1",6.55
2021-03-20,"Manitoba","dose_2",3.14
2021-03-20,"Saskatchewan","dose_1",8.57
2021-03-20,"Saskatchewan","dose_2",2.59
