"date","pt","percent_dose_1","percent_dose_2","percent_dose_3"
2021-12-18,"Quebec",83.69,78.05,7.43
2021-12-18,"Ontario",81.2,76.35,12.45
2021-12-18,"Manitoba",80.48,74.5,11.67
2021-12-18,"Saskatchewan",78.09,71.16,14.06
2021-12-18,"Alberta",77.06,71.62,13.39
2021-12-18,"British Columbia",82.86,78.24,13.2
2021-12-18,"Yukon",82.07,75.72,23.74
2021-12-18,"Northwest Territories",77.96,71.09,31.16
2021-12-18,"Nunavut",75.2,61.71,14.03
2021-12-25,"Newfoundland and Labrador",93.26,85.93,7.62
2021-12-25,"Prince Edward Island",87.23,81.46,9.24
2021-12-25,"Nova Scotia",87.59,80.98,11.02
2021-12-25,"New Brunswick",85.61,78.24,16.91
2021-12-25,"Quebec",84.11,78.22,11.78
2021-12-25,"Ontario",81.71,76.57,19.4
2021-12-25,"Manitoba",80.94,74.72,17.75
2021-12-25,"Saskatchewan",78.4,71.56,18.98
2021-12-25,"Alberta",77.49,71.85,17.13
2021-12-25,"British Columbia",83.57,78.3,15.48
2021-12-25,"Yukon",82.81,75.9,25.99
2021-12-25,"Northwest Territories",77.96,71.09,31.16
2021-12-25,"Nunavut",76.06,61.83,16.1
2022-01-01,"Newfoundland and Labrador",93.36,86.01,10.69
2022-01-01,"Prince Edward Island",87.37,81.54,11.12
2022-01-01,"Nova Scotia",88,81.1,13.41
2022-01-01,"New Brunswick",85.85,78.31,19.31
2022-01-01,"Quebec",84.27,78.32,16.03
2022-01-01,"Ontario",82.02,76.73,24.83
2022-01-01,"Manitoba",81.14,74.85,22.15
2022-01-01,"Saskatchewan",78.64,71.96,23.54
2022-01-01,"Alberta",77.79,72.02,19.97
2022-01-01,"British Columbia",83.9,78.46,17.44
2022-01-01,"Yukon",82.9,76.06,25.99
2022-01-01,"Northwest Territories",78.44,71.37,33.4
2022-01-01,"Nunavut",76.92,61.86,20.01
2022-01-08,"Newfoundland and Labrador",93.78,86.2,17.64
2022-01-08,"Prince Edward Island",87.86,81.68,14.6
2022-01-08,"Nova Scotia",88.28,81.13,18.21
2022-01-08,"New Brunswick",86.3,78.54,24.2
2022-01-08,"Quebec",84.53,78.49,22.24
2022-01-08,"Ontario",82.43,77.06,31.61
2022-01-08,"Manitoba",81.54,75.11,27.02
2022-01-08,"Saskatchewan",79.07,72.74,26.66
2022-01-08,"Alberta",78.17,72.26,24.48
2022-01-08,"British Columbia",84.38,78.65,20.89
2022-01-08,"Yukon",83.21,76.15,32.42
2022-01-08,"Northwest Territories",78.67,71.48,34.85
2022-01-08,"Nunavut",77.72,62.2,22.92
